model,fold,bin,n,mean_pred,positive_rate,abs_error,p_min,p_max
R1_RAW,2025-10-02,7,19369,0.7978068590164185,0.7938458361298983,0.003961022886520116,0.7523453831672668,0.839851438999176
R1_RAW,2025-10-02,8,19369,0.8761651515960693,0.8726831534926945,0.003481998103374795,0.8398540616035461,0.9100677371025085
R1_RAW,2025-10-02,9,19369,0.9389671683311462,0.9377871857091228,0.0011799826220234566,0.9100699424743652,0.9653531908988953
R1_RAW,2025-10-02,10,19369,0.9854711294174194,0.986266714853632,0.0007955854362126091,0.9653608202934265,0.9985108375549316
R1_RAW,2025-10-16,1,19738,0.13131427764892578,0.11612118755699666,0.015193090091929123,0.13131427764892578,0.13131427764892578
R1_RAW,2025-10-16,2,19738,0.2626044452190399,0.25189988853987233,0.010704556679167587,0.13131427764892578,0.3289123475551605
R1_RAW,2025-10-16,3,19738,0.3844026029109955,0.3825615563886919,0.001841046522303602,0.3289148807525635,0.4374195337295532
R1_RAW,2025-10-16,4,19738,0.490947425365448,0.4931604012564596,0.0022129758910116037,0.43742072582244873,0.5469732284545898
R1_RAW,2025-10-16,5,19738,0.6011903285980225,0.6008714155436214,0.00031891305440101547,0.5469767451286316,0.6554813981056213
R1_RAW,2025-10-16,6,19738,0.7084489464759827,0.6937886310669774,0.014660315409005253,0.6554872393608093,0.7588321566581726
R1_RAW,2025-10-16,7,19738,0.8045412302017212,0.7870604924511095,0.017480737750611652,0.7588344216346741,0.8467447757720947
R1_RAW,2025-10-16,8,19738,0.8817501664161682,0.8763805856723073,0.005369580743860958,0.8467556834220886,0.9141724705696106
R1_RAW,2025-10-16,9,19738,0.9431731700897217,0.9400141858344311,0.003158984255290598,0.9141731858253479,0.969224750995636
R1_RAW,2025-10-16,10,19737,0.9869349598884583,0.9867761057911537,0.00015885409730453937,0.9692270159721375,0.9985179901123047
CLOCK,OOF,1,77062,0.12796345446067833,0.12050037632036542,0.007463078140312912,0.11469264328479767,0.1449463665485382
CLOCK,OOF,2,77062,0.2503084742502146,0.2517064182087151,0.0013979439585005138,0.1449463665485382,0.3185597360134125
CLOCK,OOF,3,77062,0.37154903790413746,0.3817186161791804,0.010169578275042945,0.3185601234436035,0.4247375428676605
CLOCK,OOF,4,77062,0.4780058369497993,0.4831693960706963,0.005163559120896999,0.4247400760650635,0.5320248007774353
CLOCK,OOF,5,77062,0.5857946994670907,0.5906023721159586,0.004807672648867833,0.5320248603820801,0.6400960087776184
CLOCK,OOF,6,77062,0.6933491179178964,0.6873686122862112,0.0059805056316852845,0.6401031613349915,0.7443616390228271
CLOCK,OOF,7,77061,0.7903783744532522,0.7842228883611684,0.006155486092083828,0.7443621754646301,0.8338195085525513
CLOCK,OOF,8,77061,0.8712158886419263,0.8676373262739907,0.0035785623679356338,0.8338201642036438,0.9060696959495544
CLOCK,OOF,9,77061,0.9365570355997169,0.9370368928511179,0.00047985725140098356,0.9060696959495544,0.9645389914512634
CLOCK,OOF,10,77061,0.9846538739595723,0.9863355004476972,0.0016816264881249765,0.9645399451255798,0.9985387921333313
CLOCK,2025-09-04,1,18852,0.1449463665485382,0.12094207511139402,0.024004291437144193,0.1449463665485382,0.1449463665485382
CLOCK,2025-09-04,2,18852,0.2657564987519188,0.2442181200933588,0.02153837865856001,0.1449463665485382,0.338143914937973
