outer_fold,cell,n_donor,residual_mean,shrinkage,correction
2025-10-02,122,1033,1.8970329114387425,0.04911329815052536,0.09316954298085015
2025-10-02,123,1183,1.546470183686718,0.05584666949912666,0.08636520923860583
2025-10-02,124,1225,1.0391645254533588,0.05771495877502945,0.05997533774701364
2025-10-02,125,1188,0.67263206042989,0.05606947328676609,0.037714125344096155
2025-10-02,126,1011,0.26431834605713395,0.048117652658131456,0.01271837836674896
2025-10-02,127,796,-0.019197041345717033,0.038276591652240816,-0.0007347973125211944
2025-10-02,128,478,-0.36906316041717,0.023342123254224044,-0.008614717779051043
2025-10-02,129,220,-0.8083740024395796,0.010880316518298714,-0.008795365011706602
2025-10-02,182,1,0.7350627167738681,4.999750012499375e-05,3.675129827377972e-05
2025-10-02,183,4,1.3315921729963063,0.0001999600079984003,0.00026626518156294866
2025-10-02,184,2,2.844273442582768,9.999000099990002e-05,0.00028439890436784
2025-10-02,185,3,1.109909658447726,0.00014997750337449384,0.0001664614795452271
2025-10-02,186,1,1.5168977694674033,4.999750012499375e-05,7.584109641854923e-05
2025-10-02,187,3,1.004597451058835,0.00014997750337449384,0.0001506670176061843
2025-10-02,188,2,-0.134715460545765,9.999000099990002e-05,-1.3470199034673032e-05
2025-10-02,189,3,-0.2370110522669271,0.00014997750337449384,-3.554632589115539e-05
2025-10-02,190,13,4.379660451923018,0.0006495777744466097,0.0028449300891919866
2025-10-02,191,24,3.9289419246950956,0.0011985617259288853,0.004709079414336911
2025-10-02,192,36,3.85914582362606,0.0017967658215212617,0.006933981316157824
2025-10-02,193,46,3.003632946672618,0.002294722139080116,0.006892503020400101
2025-10-02,194,76,2.8706749724400424,0.003785614664275752,0.010867269272038415
2025-10-02,195,88,2.0930503221499275,0.004380724810832338,0.009169077476562804
2025-10-02,196,109,1.8093726013849367,0.005420458501168631,0.009807629098958581
2025-10-02,197,111,1.4544637315601237,0.005519367510317737,0.008027719864908444
2025-10-02,198,110,0.9994986636928017,0.005469915464942815,0.005467173197722933
2025-10-02,199,57,0.5161210894482381,0.002841900583337488,0.0014667648251757276
2025-10-02,200,103,3.91838395823598,0.0051236133910361635,0.020076284519639154
2025-10-02,201,239,3.2611290769456107,0.011808883838134296,0.03851029445081284
2025-10-02,202,454,2.788749634783997,0.022196147452820964,0.06189949810266621
2025-10-02,203,641,2.4471994297197472,0.031054696962356475,0.07599703669639833
2025-10-02,204,879,2.0781872663219922,0.04209971741941664,0.08749109665678582
2025-10-02,205,1112,1.7119052244374944,0.05267146646456991,0.09016855861948152
2025-10-02,206,1379,1.369040936455508,0.06450254923055335,0.08830663040236426
2025-10-02,207,1520,0.9651477497579863,0.07063197026022305,0.06817028715762728
2025-10-02,208,1721,0.699287132354962,0.07923207955434833,0.05540597370208046
2025-10-02,209,1725,0.4456047811735102,0.07940161104718067,0.035381737515503116
2025-10-02,210,144,4.214553132147635,0.007148530579825258,0.03012786194545569
2025-10-02,211,363,3.424099088966016,0.017826449933703286,0.061039530977491714
2025-10-02,212,720,3.0340409762415157,0.03474903474903475,0.10542999531341174
2025-10-02,213,1187,2.5866873978127605,0.05602492094208713,0.14491895696435297
2025-10-02,214,1598,2.211118338389507,0.07398833225298639,0.16359695827143403
2025-10-02,215,2239,1.8770895827769285,0.10067898736453977,0.18898347838650761
2025-10-02,216,3078,1.4610336935264465,0.13337377589045846,0.19486358040880503
2025-10-02,217,4085,1.0975845816119139,0.1696076396097156,0.18615873015921394
2025-10-02,218,5667,0.7628672472289971,0.22078934039817666,0.168432956327063
2025-10-02,219,9107,0.3992842222202396,0.3128800632150342,0.12492807268903433
2025-10-02,220,21,4.8091098655612425,0.0010488986564107688,0.00504426887651896
2025-10-02,221,62,4.277830999371382,0.0030904196989333067,0.013220293189164872
2025-10-02,222,122,3.7781470758166504,0.006063015604810655,0.022906964677946097
2025-10-02,223,192,3.215229999892062,0.009508716323296355,0.03057270998312579
2025-10-02,224,290,2.757848334136027,0.01429275505174963,0.039417250709682
2025-10-02,225,465,2.341749156137579,0.022721720009772784,0.053208568658879754
2025-10-02,226,665,1.9967170837092931,0.03218001451729978,0.06425438474070554
2025-10-02,227,992,1.4774080666830265,0.04725609756097561,0.06981653973654546
