variable,fold,bin,n,residual_mean,residual_std
share_trend_30_minus_180,2025-10-02,1,49292,-0.04415864450144821,1.8867330408106884
share_trend_30_minus_180,2025-10-02,2,7169,0.016529383477311536,1.6913064220199276
share_trend_30_minus_180,2025-10-02,3,113509,0.011913479059942235,1.682713874388971
share_trend_30_minus_180,2025-10-02,4,14795,0.039709114525011316,1.7165806006542066
share_trend_30_minus_180,2025-10-02,5,4075,0.019322797760828243,1.84902083830024
share_trend_30_minus_180,2025-10-02,6,2523,0.007120592199157203,1.8516688992919474
share_trend_30_minus_180,2025-10-16,0,2293,0.03365449288586098,1.895701384018232
share_trend_30_minus_180,2025-10-16,1,49228,-0.02331724663000646,1.8756619501893945
share_trend_30_minus_180,2025-10-16,2,7546,0.0013792509527629031,1.7097928555383703
share_trend_30_minus_180,2025-10-16,3,116433,0.0033749192261296585,1.6785574548143405
share_trend_30_minus_180,2025-10-16,4,15165,0.039238967343884254,1.6986398196365027
share_trend_30_minus_180,2025-10-16,5,4214,0.05112929100965071,1.8431935324770012
share_trend_30_minus_180,2025-10-16,6,2500,-0.05727436204620419,1.8730369549633072
share_trend_30_minus_180,wcv_weighted,0,8845,0.016701656023114964,1.9116944441199155
share_trend_30_minus_180,wcv_weighted,1,191608,-0.028992304839216297,1.882914098363249
share_trend_30_minus_180,wcv_weighted,2,29045,0.007498465073182085,1.7051931800436357
share_trend_30_minus_180,wcv_weighted,3,455430,0.005606294581608923,1.6843599718705837
share_trend_30_minus_180,wcv_weighted,4,59095,0.04218484320298011,1.7077319268498443
share_trend_30_minus_180,wcv_weighted,5,16435,0.03241135837917203,1.85247483854194
share_trend_30_minus_180,wcv_weighted,6,10158,-0.03534702768516279,1.865830601620198
recency_last_search_purchase,2025-09-04,0,53331,0.03114897393693168,1.6510999080021593
recency_last_search_purchase,2025-09-04,1,31099,-0.024052023141102,1.8614176449908508
recency_last_search_purchase,2025-09-04,2,28742,-0.02772597270926843,1.9569041005037555
recency_last_search_purchase,2025-09-04,3,24048,-0.000543614229193538,1.9821211930349028
recency_last_search_purchase,2025-09-04,4,11533,-0.030630870801772816,1.899861248423251
recency_last_search_purchase,2025-09-04,5,13226,0.01619189223368712,1.799728659098093
recency_last_search_purchase,2025-09-04,6,26539,0.0013537437374499198,1.3203824138604618
recency_last_search_purchase,2025-09-18,0,53748,0.04151623109392449,1.6278062544377911
recency_last_search_purchase,2025-09-18,1,28787,0.024314710286056467,1.8463550547543504
recency_last_search_purchase,2025-09-18,2,31215,-0.04016420160187462,1.9382284732100434
recency_last_search_purchase,2025-09-18,3,25594,-0.05255333012865397,1.9687911502616726
recency_last_search_purchase,2025-09-18,4,11718,-0.016775242933421246,1.9185073589023602
recency_last_search_purchase,2025-09-18,5,13132,-0.01592967871581833,1.8062899593841517
recency_last_search_purchase,2025-09-18,6,26831,0.0027272322337694647,1.3489263125264375
recency_last_search_purchase,2025-10-02,0,55165,0.036331897266629234,1.6242116419428902
recency_last_search_purchase,2025-10-02,1,30211,0.036796662650297234,1.8198926627297465
recency_last_search_purchase,2025-10-02,2,28646,-0.003152301305114609,1.9380595721595664
recency_last_search_purchase,2025-10-02,3,27701,-0.0630673506379842,1.9513737482526619
recency_last_search_purchase,2025-10-02,4,11711,0.0011874157042015183,1.9228633731194997
recency_last_search_purchase,2025-10-02,5,13180,-0.0367536774158716,1.7926073866533467
recency_last_search_purchase,2025-10-02,6,27080,-0.02984032281400824,1.3268260650071955
recency_last_search_purchase,2025-10-16,0,59435,0.01105962998897642,1.6287933730903517
recency_last_search_purchase,2025-10-16,1,28860,0.02231808050198558,1.8305999219682683
recency_last_search_purchase,2025-10-16,2,29134,0.020946313293980702,1.9296229743193523
recency_last_search_purchase,2025-10-16,3,26704,-0.039212011002404436,1.9415373763219206
recency_last_search_purchase,2025-10-16,4,12355,0.0028565114202698002,1.889978958273405
recency_last_search_purchase,2025-10-16,5,13298,-0.016569152575801573,1.7982972928097407
recency_last_search_purchase,2025-10-16,6,27593,-0.02462642224568479,1.3147687733070164
recency_last_search_purchase,wcv_weighted,0,221679,0.022806312149208023,1.628979669946759
recency_last_search_purchase,wcv_weighted,1,118957,0.02319656566439877,1.8320893463353896
recency_last_search_purchase,wcv_weighted,2,117737,0.0024496499798934163,1.9350815848739722
recency_last_search_purchase,wcv_weighted,3,104047,-0.045206825111503646,1.950469779614899
recency_last_search_purchase,wcv_weighted,4,47317,-0.002390129717507182,1.9030789411028874
recency_last_search_purchase,wcv_weighted,5,52836,-0.019619270689078466,1.7980074454040227
recency_last_search_purchase,wcv_weighted,6,108043,-0.02061284588115605,1.3230287919763042
recency_last_catalog_purchase,2025-09-04,0,4872,0.0740891565914589,1.5918046136342112
recency_last_catalog_purchase,2025-09-04,1,5090,-0.027165120417692343,1.690291707784675
recency_last_catalog_purchase,2025-09-04,2,7790,0.010655959430359909,1.7131257127946569
recency_last_catalog_purchase,2025-09-04,3,11748,0.008678347927775592,1.7495399439233301
