variable,segment,n,pearson,spearman,residual_mean
historical_switch_30_90,w180_days_buy_ge16,163898,-0.010409756533100667,0.005931186358002601,0.041664516325098724
historical_switch_30_90,actual_total_y_0,301289,-0.11023264161999405,-0.1923052870187875,-1.543102130311063
historical_switch_30_90,gmv_low_0_100,274901,0.18535315032542365,0.1988870547300477,0.590669242416516
historical_switch_30_90,gmv_medium_100_1000,182253,0.2675126337899989,0.26440865504614736,1.50881080997864
historical_switch_30_90,gmv_high_gt1000,12173,0.2590865205858083,0.23132809010505717,2.2639357788758794
historical_switch_90_180,all,770616,-0.0001291939455217752,-0.027182360717512934,7.066755164769495e-08
historical_switch_90_180,rec_buy_15_60,223152,0.003821301551874541,0.0019282944967812376,-0.026619940663462134
historical_switch_90_180,w180_days_buy_2_15,438482,0.001427284381453122,0.0014019381237607928,-0.008160543444188845
historical_switch_90_180,intersection,181406,0.0048238934763474295,0.004050978616215238,-0.02745787896165491
historical_switch_90_180,w180_days_buy_0_1,168236,0.0034861428580317605,-0.14087179305353842,-0.019320627146450445
historical_switch_90_180,w180_days_buy_ge16,163898,-0.0030486072536426,-0.0014190926472847298,0.041664516325098724
historical_switch_90_180,actual_total_y_0,301289,0.06721981005902644,0.026567857836885894,-1.543102130311063
historical_switch_90_180,gmv_low_0_100,274901,0.15010846842933756,0.15145444290903826,0.590669242416516
historical_switch_90_180,gmv_medium_100_1000,182253,0.15654771473014992,0.13755966009434475,1.50881080997864
historical_switch_90_180,gmv_high_gt1000,12173,0.1536773299570352,0.1286910102027754,2.2639357788758794
