ckpt,seed,panel,depth,train_max,avail,extrap,over_train,rmsle,rmsle_cal,d_cal,auc,bias,mean_z,var_vs_clip
SEQ-01-S44-V0918,44,1016,282,226,289,63,56,1.7532769156875283,1.7489634547309678,-0.0022949959328519842,0.8425356825711927,-0.12276956048566312,2.754288690217579,0.02889829517530101
SEQ-01-S44-V0918,44,1016,289,226,289,63,63,1.7537307483634377,1.7492220692802973,-0.0020363813835224676,0.8424036287482606,-0.12552296502148153,2.7570420947533973,0.032851280438102475
SEQ-01-S44-V1002,44,1016,226,240,289,49,-14,1.750171234949536,1.7501707450400894,0.001272044128971972,0.842423161440683,-0.0011744153912172095,2.632693545123133,0.006594818264105888
SEQ-01-S44-V1002,44,1016,240,240,289,49,0,1.7517298966222847,1.7488987009111174,0.0,0.8426329412569094,0.099553828011409,2.531965301720507,0.0
SEQ-01-S44-V1002,44,1016,247,240,289,49,7,1.7507793479542424,1.7482887448867945,-0.0006099560243228996,0.8427475688690979,0.093353038114671,2.538166091617245,0.0035413525716008576
SEQ-01-S44-V1002,44,1016,254,240,289,49,14,1.7498582502655529,1.7477376465744836,-0.0011610543366338266,0.8428600225999834,0.08612209222207268,2.545397037509843,0.006517327275596603
SEQ-01-S44-V1002,44,1016,261,240,289,49,21,1.7491268033610288,1.7474723292700065,-0.001426371641110924,0.8429236744049435,0.07605940225657859,2.5554597274753372,0.009137335560523499
SEQ-01-S44-V1002,44,1016,268,240,289,49,28,1.7484089433058505,1.747186954129442,-0.001711746781675405,0.8430036012177534,0.06535732821776419,2.5661618015141516,0.011659132495716838
SEQ-01-S44-V1002,44,1016,275,240,289,49,35,1.747813103673369,1.7470795893267732,-0.001819111584344224,0.8430251275542813,0.05063155073794823,2.5808875789939676,0.014436684362557746
SEQ-01-S44-V1002,44,1016,282,240,289,49,42,1.7475584224173186,1.7470265123074578,-0.0018721886036596747,0.8430109298720933,0.043113861536037135,2.5884052681958787,0.016880268016986232
SEQ-01-S44-V1002,44,1016,289,240,289,49,49,1.7474134696166121,1.7470450284508168,-0.0018536724603006594,0.842964854331294,0.03588178316152968,2.595637346570386,0.018986085453056432
SEQ-01C-S42-V0904,42,1016,212,212,289,77,0,1.7530429868408448,1.7529184762913999,0.0,0.841858851378211,-0.020823565954477985,2.652342695686394,0.0
SEQ-01C-S42-V0904,42,1016,226,212,289,77,14,1.7522520189570043,1.751565090589183,-0.0013533857022167695,0.8422681013564051,-0.049021075580331974,2.680540205312248,0.006694284463762181
SEQ-01C-S42-V0904,42,1016,240,212,289,77,28,1.7523237302037984,1.750635634534503,-0.0022828417568967474,0.8424743952164577,-0.07685368740630949,2.7083728171382253,0.012772619399446766
SEQ-01C-S42-V0904,42,1016,247,212,289,77,35,1.752617241639958,1.7501058334109274,-0.002812642880472449,0.8426016404061578,-0.09373634021096278,2.7252554699428786,0.016591760746731535
SEQ-01C-S42-V0904,42,1016,254,212,289,77,42,1.7529055813456424,1.7495579933741485,-0.0033604829172513284,0.8426627967481399,-0.10822210990814707,2.739741239640063,0.020044186433496664
SEQ-01C-S42-V0904,42,1016,261,212,289,77,49,1.7532079506875635,1.7489724703845089,-0.003946005906890981,0.8427079911172852,-0.12174771083925773,2.7532668405711735,0.02316261526501284
SEQ-01C-S42-V0904,42,1016,268,212,289,77,56,1.753396454374551,1.7485280966217802,-0.004390379669619637,0.8427780503762616,-0.13052281323139958,2.7620419429633154,0.026965112298436685
SEQ-01C-S42-V0904,42,1016,275,212,289,77,63,1.7537465421385705,1.7483268983687705,-0.00459157792262932,0.8427506223533641,-0.1377109582690914,2.7692300880010072,0.03085222933461381
SEQ-01C-S42-V0904,42,1016,282,212,289,77,70,1.7541409935667613,1.7482378146197777,-0.004680661671622177,0.8427197514862514,-0.1437239605530607,2.7752430902849765,0.03471740831895009
SEQ-01C-S42-V0904,42,1016,289,212,289,77,77,1.7546411927206087,1.748231373556492,-0.0046871027349078,0.8426491446999893,-0.14975863482604623,2.781277764557962,0.038163533934505195
