contrast,fold,fold_index,variant,alpha,score,baseline,delta,offset,winsor_lo,winsor_hi,clipped_fraction,bounds_folds
VOL,2025-09-04,0,HIGH16,1.0,1.7668158086446837,1.7668833566716835,-6.754802699981965e-05,-0.11734466949612664,-0.02949531078338623,0.030137307643890388,0.01618413095831698,"[1, 2, 3]"
VOL,2025-09-18,1,GLOBAL,0.0,1.7605095767202485,1.7605095767202485,0.0,-0.07873621248910095,-0.028904938697814943,0.03152549266815219,0.014207564454914279,"[0, 2, 3]"
VOL,2025-09-18,1,GLOBAL,0.25,1.7604867787075913,1.7605095767202485,-2.2798012657254674e-05,-0.07873621248910093,-0.028904938697814943,0.03152549266815219,0.014207564454914279,"[0, 2, 3]"
VOL,2025-09-18,1,GLOBAL,0.5,1.760466744721538,1.7605095767202485,-4.283199871046861e-05,-0.07873621248910091,-0.028904938697814943,0.03152549266815219,0.014207564454914279,"[0, 2, 3]"
VOL,2025-09-18,1,GLOBAL,0.75,1.7604494748564543,1.7605095767202485,-6.010186379423743e-05,-0.0787362124891009,-0.028904938697814943,0.03152549266815219,0.014207564454914279,"[0, 2, 3]"
VOL,2025-09-18,1,GLOBAL,1.0,1.760434969193687,1.7605095767202485,-7.460752656163194e-05,-0.07873621248910088,-0.028904938697814943,0.03152549266815219,0.014207564454914279,"[0, 2, 3]"
VOL,2025-09-18,1,HIGH16,0.0,1.7605095767202485,1.7605095767202485,0.0,-0.07873621248910095,-0.028904938697814943,0.03152549266815219,0.014207564454914279,"[0, 2, 3]"
VOL,2025-09-18,1,HIGH16,0.25,1.760507227339436,1.7605095767202485,-2.349380812560753e-06,-0.07873621248910094,-0.028904938697814943,0.03152549266815219,0.014207564454914279,"[0, 2, 3]"
VOL,2025-09-18,1,HIGH16,0.5,1.7605062490233363,1.7605095767202485,-3.3276969122475464e-06,-0.07873621248910095,-0.028904938697814943,0.03152549266815219,0.014207564454914279,"[0, 2, 3]"
VOL,2025-09-18,1,HIGH16,0.75,1.7605066417742354,1.7605095767202485,-2.9349460131111726e-06,-0.07873621248910093,-0.028904938697814943,0.03152549266815219,0.014207564454914279,"[0, 2, 3]"
VOL,2025-09-18,1,HIGH16,1.0,1.7605084055912157,1.7605095767202485,-1.1711290328619839e-06,-0.07873621248910093,-0.028904938697814943,0.03152549266815219,0.014207564454914279,"[0, 2, 3]"
VOL,2025-10-02,2,GLOBAL,0.0,1.7486292241899832,1.7486292241899832,0.0,-0.020977553375948806,-0.02798073649406433,0.0339970588684082,0.01227709686412589,"[0, 1, 3]"
VOL,2025-10-02,2,GLOBAL,0.25,1.7486327811725266,1.7486292241899832,3.556982543395648e-06,-0.020977553375948813,-0.02798073649406433,0.0339970588684082,0.01227709686412589,"[0, 1, 3]"
VOL,2025-10-02,2,GLOBAL,0.5,1.7486388990660726,1.7486292241899832,9.674876089382778e-06,-0.020977553375948827,-0.02798073649406433,0.0339970588684082,0.01227709686412589,"[0, 1, 3]"
VOL,2025-10-02,2,GLOBAL,0.75,1.748647577843742,1.7486292241899832,1.835365375879583e-05,-0.020977553375948855,-0.02798073649406433,0.0339970588684082,0.01227709686412589,"[0, 1, 3]"
VOL,2025-10-02,2,GLOBAL,1.0,1.7486588174674045,1.7486292241899832,2.9593277421247066e-05,-0.020977553375948848,-0.02798073649406433,0.0339970588684082,0.01227709686412589,"[0, 1, 3]"
VOL,2025-10-02,2,HIGH16,0.0,1.7486292241899832,1.7486292241899832,0.0,-0.020977553375948806,-0.02798073649406433,0.0339970588684082,0.01227709686412589,"[0, 1, 3]"
VOL,2025-10-02,2,HIGH16,0.25,1.7486307353532065,1.7486292241899832,1.5111632232223116e-06,-0.020977553375948643,-0.02798073649406433,0.0339970588684082,0.01227709686412589,"[0, 1, 3]"
VOL,2025-10-02,2,HIGH16,0.5,1.7486336730282392,1.7486292241899832,4.44883825601039e-06,-0.02097755337594872,-0.02798073649406433,0.0339970588684082,0.01227709686412589,"[0, 1, 3]"
VOL,2025-10-02,2,HIGH16,0.75,1.7486380372078913,1.7486292241899832,8.813017908115839e-06,-0.02097755337594877,-0.02798073649406433,0.0339970588684082,0.01227709686412589,"[0, 1, 3]"
VOL,2025-10-02,2,HIGH16,1.0,1.7486438278814824,1.7486292241899832,1.4603691499193161e-05,-0.0209775533759489,-0.02798073649406433,0.0339970588684082,0.01227709686412589,"[0, 1, 3]"
VOL,2025-10-16,3,GLOBAL,0.0,1.7412785662041037,1.7412785662041037,0.0,-0.03538715401397925,-0.031091690063476562,0.0340277576446531,0.002016425252939776,"[0, 1, 2]"
VOL,2025-10-16,3,GLOBAL,0.25,1.7412772216662027,1.7412785662041037,-1.344537901015741e-06,-0.03538715401397924,-0.031091690063476562,0.0340277576446531,0.002016425252939776,"[0, 1, 2]"
VOL,2025-10-16,3,GLOBAL,0.5,1.7412779800362839,1.7412785662041037,-5.861678198382236e-07,-0.035387154013979155,-0.031091690063476562,0.0340277576446531,0.002016425252939776,"[0, 1, 2]"
VOL,2025-10-16,3,GLOBAL,0.75,1.7412808413116,1.7412785662041037,2.2751074963967e-06,-0.03538715401397913,-0.031091690063476562,0.0340277576446531,0.002016425252939776,"[0, 1, 2]"
VOL,2025-10-16,3,GLOBAL,1.0,1.7412858054817846,1.7412785662041037,7.239277680870515e-06,-0.03538715401397908,-0.031091690063476562,0.0340277576446531,0.002016425252939776,"[0, 1, 2]"
VOL,2025-10-16,3,HIGH16,0.0,1.7412785662041037,1.7412785662041037,0.0,-0.03538715401397925,-0.031091690063476562,0.0340277576446531,0.002016425252939776,"[0, 1, 2]"
VOL,2025-10-16,3,HIGH16,0.25,1.741273986540803,1.7412785662041037,-4.579663300807724e-06,-0.035387154013979356,-0.031091690063476562,0.0340277576446531,0.002016425252939776,"[0, 1, 2]"
VOL,2025-10-16,3,HIGH16,0.5,1.741270481675207,1.7412785662041037,-8.08452889677902e-06,-0.03538715401397942,-0.031091690063476562,0.0340277576446531,0.002016425252939776,"[0, 1, 2]"
VOL,2025-10-16,3,HIGH16,0.75,1.7412680516138053,1.7412785662041037,-1.0514590298438264e-05,-0.03538715401397925,-0.031091690063476562,0.0340277576446531,0.002016425252939776,"[0, 1, 2]"
VOL,2025-10-16,3,HIGH16,1.0,1.741266696361098,1.7412785662041037,-1.186984300560745e-05,-0.035387154013979336,-0.031091690063476562,0.0340277576446531,0.002016425252939776,"[0, 1, 2]"
