recency_weight,post_order_dist_weight,behavior_dist_weight,xgb_behavior_weight,cat_behavior_weight,rmsle_mean,rmsle_std,bias_mean,pred_log_mean,pred_mean
0.3,0.0,0.3,0.25,0.15,1.7070104648890623,0.051112875447303446,0.06196563920336917,2.2728059754459924,34.60183682737019
0.25,0.05,0.3,0.3,0.1,1.7070108578760232,0.051205920000774854,0.06248666748963605,2.2722849471597257,34.5446702638171
0.3,0.05,0.3,0.15,0.2,1.707010926336364,0.051172912664019785,0.06220220260924991,2.272569412040112,34.49023550971977
0.2,0.05,0.35,0.25,0.15,1.7070111574013236,0.05129782231908253,0.06344298507731172,2.27132862957205,34.42529607271938
0.3,0.0,0.25,0.3,0.15,1.7070114424915284,0.05105231869412546,0.06159563020214032,2.2731759844472217,34.68769641006922
0.15,0.1,0.3,0.3,0.15,1.7070119569373354,0.05132423697041834,0.06369466489708642,2.2710769497522754,34.42089184816582
0.15,0.2,0.2,0.3,0.15,1.707012388724845,0.0513211735952646,0.06322653182513083,2.2715450828242307,34.42570866335874
0.25,0.1,0.3,0.25,0.1,1.7070130381965867,0.05126681862301695,0.06262259628322475,2.272149018366137,34.465557334847574
0.25,0.15,0.25,0.25,0.1,1.707013227298214,0.051265508379181195,0.062388618780752525,2.2723829958686093,34.46786280802107
0.25,0.0,0.35,0.25,0.15,1.7070136695256124,0.05120553186570529,0.06282156341701173,2.2719500512323503,34.51151706147901
0.2,0.15,0.3,0.2,0.15,1.7070140119877597,0.0513577452363723,0.0633447015398867,2.271426913109475,34.35076442288407
0.25,0.05,0.35,0.2,0.15,1.7070141418759035,0.05126715544378247,0.06295731851165298,2.271814296137709,34.43254074873197
0.2,0.1,0.3,0.3,0.1,1.7070150275865152,0.05129696853791351,0.06310839623884323,2.2716632184105183,34.45871341273214
0.25,0.05,0.35,0.15,0.2,1.7070157024995356,0.05126709930880824,0.06305801579493209,2.2717135988544297,34.402270358011734
0.15,0.15,0.3,0.2,0.2,1.707015868472267,0.051387007232282685,0.063931064298961,2.2708405503504006,34.3135939013234
0.2,0.15,0.3,0.15,0.2,1.7070165567463393,0.05135753776708527,0.06344542179812551,2.2713261928512365,34.32065585707468
0.3,0.15,0.2,0.2,0.15,1.7070167461251018,0.05117113260203326,0.061633879483869114,2.2731377351654927,34.52559299398331
0.25,0.2,0.2,0.2,0.15,1.7070170077486568,0.05126244130711861,0.06225547858376923,2.2725161360655926,34.43953370271957
0.15,0.2,0.25,0.2,0.2,1.7070191628789246,0.05138439365627736,0.06369715994672576,2.271074454702636,34.31611550848339
0.3,0.05,0.25,0.3,0.1,1.7070200197433587,0.05111343778872516,0.06163130793760607,2.2731403067117557,34.635830925235126
0.3,0.1,0.25,0.25,0.1,1.707020077810129,0.051173176876721696,0.06176730774372019,2.2730043069056416,34.554473592186326
0.3,0.15,0.2,0.15,0.2,1.7070203890678055,0.05117018414674751,0.06173467789904352,2.2730369367503185,34.49525733797759
0.25,0.2,0.2,0.15,0.2,1.7070208680266057,0.05126160279817487,0.06235626900575153,2.2724153456436103,34.409338145707125
0.3,0.1,0.2,0.3,0.1,1.7070209057978243,0.05111341583955711,0.06139735244332489,2.273374262206037,34.638205102218976
0.2,0.2,0.25,0.2,0.15,1.7070218628287046,0.05135504112898904,0.06311105144745977,2.271660563201902,34.35350312707594
0.15,0.05,0.35,0.25,0.2,1.707022427388753,0.051325456032726306,0.06402990942514042,2.2707417052242214,34.38861704553737
0.15,0.15,0.3,0.25,0.15,1.7070236236681064,0.05138634892033554,0.06383079904571498,2.270940815603647,34.344339259197326
0.2,0.2,0.2,0.3,0.1,1.7070245725661843,0.05129372479654969,0.06264077197984208,2.2721308426695197,34.463965111450975
0.2,0.2,0.25,0.15,0.2,1.7070251734963948,0.05135457298301546,0.06321180247123648,2.2715598121781255,34.323419448609826
0.2,0.1,0.35,0.2,0.15,1.7070259730390083,0.051359120634828045,0.0635792526971437,2.271192361952218,34.3491496099556
0.2,0.0,0.35,0.3,0.15,1.7070260559216144,0.05123390071783471,0.0633079474627154,2.271463667186646,34.50533248095232
0.15,0.2,0.25,0.25,0.15,1.7070261513061569,0.05138399678155433,0.06359686336674764,2.271174751282614,34.346835897449026
0.3,0.05,0.3,0.25,0.1,1.7070267858463541,0.05117335410055407,0.062001582776503694,2.272770031872858,34.55257608155007
0.1,0.15,0.25,0.3,0.2,1.707027415213283,0.05134734179370016,0.06404757730026334,2.2707240373490984,34.387102486220215
0.2,0.1,0.35,0.15,0.2,1.7070277501693987,0.05135917412045582,0.0636799412373723,2.2710916734119895,34.31901552561952
0.2,0.15,0.3,0.25,0.1,1.7070315500953483,0.05135754179751701,0.06324483677796411,2.2715267778713977,34.38243499547866
0.15,0.1,0.35,0.2,0.2,1.707032386851742,0.051388292761256935,0.06416587043915012,2.2706057442102114,34.31219442981657
0.25,0.05,0.35,0.25,0.1,1.7070326636020703,0.051266798837067015,0.06285747634292127,2.2719141383064407,34.464377275537906
0.1,0.2,0.2,0.3,0.2,1.7070329800502706,0.051345238083282514,0.06381370679487652,2.270957907854485,34.38985620738666
0.3,0.15,0.2,0.25,0.1,1.7070331814700208,0.051171670866854424,0.061533933583331146,2.2732376810660306,34.55749940141801
0.35,0.05,0.2,0.2,0.2,1.7070331973717892,0.05101895922135881,0.06097738298279953,2.273794231666562,34.667208956454346
0.25,0.2,0.2,0.25,0.1,1.707033227182243,0.05126287037871018,0.06215554162631398,2.272616073023048,34.47129566450991
0.3,0.0,0.35,0.2,0.15,1.7070345698655944,0.05117244803268522,0.0623366112153898,2.272435003433972,34.51982383210058
0.3,0.0,0.35,0.15,0.2,1.7070359112529685,0.05117228233589742,0.06243731565416022,2.272334298995202,34.48941318873899
0.3,0.1,0.3,0.15,0.15,1.707036876800939,0.05123118295070288,0.06223855396065825,2.2725330606887035,34.44334646089437
0.35,0.0,0.25,0.2,0.2,1.7070376751706984,0.05101837226573908,0.06121157430243396,2.273560040346928,34.665192487177485
