feature,is_b1,mean_abs_shap,mean_shap,mean_value,std_value
w90_orders_per_day,False,0.004720467667692525,-0.000977204300621028,0.09773655749255791,0.19360225267801423
b1_order_gap_std_all,True,0.004624627228820703,0.0015590134737720365,19.38144486551419,25.360190393108606
w90_gmv_per_day,False,0.004527436508647967,-0.0004916452466728953,3.2072155551337116,7.6737912768073695
search_sum_7d,False,0.004514238873127055,-0.00023612140412700914,2.13808,1.9407135425111735
b1_last_order_day_carts,True,0.004477331156314467,0.0002781538935304489,2.34955,3.038904127329804
search_to_ord_sum_all,False,0.0044619502953414155,-0.001345972406919093,26.18023,52.795505372524445
b1_order_gmv_iqr_all,True,0.004453291741411869,-0.0006917987552533377,33.943776054100155,83.97109221058483
has_search_to_cart_sum_7d,False,0.004447028564704699,-0.0009085283097175605,0.95211,1.329609719900918
b1_active_gap_median_all,True,0.004381923959973384,-0.0008334470707302233,3.28132,6.327905515228185
search_sum_all,False,0.004345175663958341,-0.0009194967901961885,85.5626,69.3547103328616
gmv_search_sum_all,False,0.004108677700184585,-0.0008239789886700486,881.8281600766294,1931.01983155186
b1_stale_buyer_high_intent_score,True,0.0040329974031478935,0.0001729049525552638,0.1898112507840432,0.4963520899256623
to_cart_sum_all,False,0.0039497528800023895,-0.0015591495943182675,108.58409,187.24012923226638
b1_order_gmv_cv_all,True,0.003921416628798044,0.0005689650002008747,0.8704168968512025,0.6659696350735944
post_order_searches_sum,False,0.0038969705341647203,-7.239401633971516e-05,18.6259,47.47348420640504
b1_order_gap_cv_all,True,0.003837901003096304,0.00030310988733542717,0.7697911319571129,0.5573814031027933
search_to_ord_sum_60d,False,0.003816636138397093,5.573145634293501e-05,5.7366600000000005,11.82456643783202
gmv_sum_7d,False,0.0037857912865950725,-0.0009152544137607547,22.92314509998664,110.09276594353197
gmv_search_sum_30d,False,0.0037683882853706205,-0.0009925902252481277,94.95939214502515,291.1765433056517
search_to_cart_sum_all,False,0.0037633927226789063,-0.0008051394393624879,100.10154,173.25492868051293
recency_search_days,False,0.0037610952611672353,0.0004027962464180577,44.74432,604.3157728641527
active_days_120d,False,0.0037286794006013532,-0.001496507369781141,41.98792,28.367358361144067
post_order_searches_per_day,False,0.003651593531167801,0.001280538180357449,1.6664145970333086,2.225313409842582
b1_search_day_share_active_90d,True,0.0036433580526781984,-0.000364989726653451,0.6177622429936566,0.183927073314405
searches_sum_120d,False,0.0035967218231446447,-0.001331540189648214,136.85507,188.60680131961354
gmv_search_mean_all,False,0.0035903954848191225,-0.00020473869615801916,7.020695594768487,15.71253111826942
b1_search_spike_ratio_30d,True,0.0035134217492595304,0.0003086209361365265,2.2978256329894067,1.1516367814567832
b1_pre_last_order_cart_lift_7d,True,0.003509175026266849,-0.0004627348550654929,1.5642908594547957,2.981604392884445
active_days_60d,False,0.003465793163220594,7.435986265980635e-05,22.33123,14.759613052597492
recency_to_cart_days,False,0.003456001512224037,-0.0003706839893091144,278.45147,1572.2735164378557
b1_pre_last_order_search_lift_7d,True,0.00342143574021705,0.00015457041201821634,1.4071504782581143,2.033685658526843
has_cat_to_ord_mean_all,False,0.003373421104192211,0.0002541174889531163,0.009260868817898445,0.023468126203237752
w180_gmv_per_day,False,0.0033129965807785194,0.0006528494576017998,3.02661877167447,6.596415395482667
b1_cart_no_order_days_30d,True,0.0032267271472716215,0.0007319246435706663,2.40602,3.044909670480365
searches_max_all,False,0.003151436809312534,-0.0002939325581079197,17.850209999999997,17.01148502091747
w180_lgmv_mean,False,0.003137072863948794,0.00010798676682543222,2.650199883080944,1.4141522914556055
recency_cat_to_cart_days,False,0.0030870969490482784,3.653587864294852e-05,3560.19478,4723.894043805451
b1_order_gap_mean_all,True,0.0030819112233479388,0.000255929083084263,24.099815958168506,34.983394231187134
to_cart_max_all,False,0.003076769149993772,-0.0004557192488462426,8.57977,9.559698011984441
