candidate,fold,segment_family,segment,n,base_rmsle,candidate_rmsle,delta_rmsle,base_mean_signed_residual,candidate_mean_signed_residual,signed_residual_improvement,mean_squared_error_improvement
replacement_beta1_partial_3fold,2025-09-18,dist_count_abs_disagreement,medium,63675,1.750016166858849,1.750072403969743,5.623711089408623e-05,0.0015745972454913064,0.0015255182313453732,4.907901414593317e-05,-0.00019683486909718924
replacement_beta1_partial_3fold,2025-09-18,dist_count_signed_disagreement,count_gt_dist,90775,1.7575909509253065,1.7576910641757213,0.00010011325041481278,3.2469478751669544e-05,-0.01571307171520961,0.01574554119396128,-0.00035192630865760264
replacement_beta1_partial_3fold,2025-09-18,dist_count_signed_disagreement,count_lt_dist,100250,1.7631481843978798,1.7631200258493398,-2.8158548539991557e-05,-2.9400667667822888e-05,0.014227970922176147,-0.01425737158984397,9.929459456318094e-05
replacement_beta1_partial_3fold,2025-10-16,target_zero_positive,positive,120966,1.669417590339062,1.6693560890523311,-6.150128673088062e-05,0.9672545664539278,0.9674687224634007,-0.0002141560094728323,0.00020533887738503936
replacement_beta1_partial_3fold,2025-10-16,target_zero_positive,zero,76413,1.8493381198248326,1.8491475104710413,-0.0001906093537913378,-1.5312174091537543,-1.531556429946576,0.0003390207928217759,0.0007049659559977701
replacement_beta1_partial_3fold,2025-10-16,target_count_class,C0,76413,1.8493381198248326,1.8491475104710413,-0.0001906093537913378,-1.5312174091537543,-1.531556429946576,0.0003390207928217759,0.0007049659559977701
replacement_beta1_partial_3fold,2025-10-16,target_count_class,C1,38333,1.6898964136776193,1.689533262396543,-0.0003631512810764459,0.7535815798855464,0.7541442976348286,-0.0005627177492821822,0.0012272442161739164
replacement_beta1_partial_3fold,2025-10-16,target_count_class,C2,43002,1.7638236209077371,1.763884679654603,6.105874686590518e-05,1.0959770403711833,1.0969292273726508,-0.000952187001467486,-0.0002153974481406849
replacement_beta1_partial_3fold,2025-10-16,target_count_class,C3,29796,1.6106166437699863,1.6112555200779102,0.000638876307923919,1.0817441459161263,1.0826378644385475,-0.0008937185224211497,-0.0020583777926419956
replacement_beta1_partial_3fold,2025-10-16,target_count_class,C4,9835,1.2984512031539954,1.296555222123419,-0.0018959810305765323,0.890393484713235,0.8839633630891862,0.006430121624048768,0.004920082956550134
replacement_beta1_partial_3fold,2025-10-16,predicted_count_class,C0,108266,1.7997283682482692,1.799641803148076,-8.656510019311447e-05,-0.014604950659697358,-0.01469646290678603,9.151224708867263e-05,0.0003115798395192488
replacement_beta1_partial_3fold,2025-10-16,predicted_count_class,C1,505,2.0065199045752884,2.0057463014259835,-0.0007736031493048579,0.030870180777135617,0.03422505779032852,-0.0033548770131929043,0.00310390177281157
replacement_beta1_partial_3fold,2025-10-16,predicted_count_class,C2,53372,1.868093073733242,1.8680058214593644,-8.725227387751389e-05,0.01938534801993211,0.020908510896942345,-0.0015231628770102333,0.00032598312403705305
replacement_beta1_partial_3fold,2025-10-16,predicted_count_class,C3,29344,1.3698274616277504,1.369937430976948,0.00010996934919771384,0.0067723004246558185,0.007137615446919629,-0.0003653150222638103,-0.00030129016219442164
replacement_beta1_partial_3fold,2025-10-16,predicted_count_class,C4,5892,0.8676950355991352,0.8642800436507424,-0.003414991948392787,0.05639323975720286,0.04217046293549944,0.01422277682170342,0.005914680950455357
replacement_beta1_partial_3fold,2025-10-16,history_purchase_days,0-1,42698,1.4646315942501378,1.4646476380692885,1.6043819150768357e-05,-0.02870285731366422,-0.02984094233198136,0.00113808501831714,-4.6996826245338954e-05
replacement_beta1_partial_3fold,2025-10-16,history_purchase_days,16+,43240,1.403142627715517,1.4030820481795951,-6.057953592186749e-05,0.010968592350905972,0.010031611054507285,0.0009369812963986868,0.0001699997885581135
replacement_beta1_partial_3fold,2025-10-16,history_purchase_days,2-15,111441,1.9453560683141826,1.9451868588585892,-0.00016920945559339984,0.006741438683479833,0.0075410458780345085,-0.0007996071945546752,0.0006583166506688465
replacement_beta1_partial_3fold,2025-10-16,history_purchase_days_2_15,2-15,111441,1.9453560683141826,1.9451868588585892,-0.00016920945559339984,0.006741438683479833,0.0075410458780345085,-0.0007996071945546752,0.0006583166506688465
replacement_beta1_partial_3fold,2025-10-16,history_purchase_days_2_15,outside,85938,1.4340228047268004,1.4340011222835158,-2.1682443284598563e-05,-0.00874203109597222,-0.009778930085573843,0.0010368989896016225,6.218576613639303e-05
replacement_beta1_partial_3fold,2025-10-16,recency,0-7,66561,1.64428657872744,1.6441077486363993,-0.00017883009104080472,0.015951250306157547,0.014803149833176482,0.001148100472981065,0.0005880638569408039
replacement_beta1_partial_3fold,2025-10-16,recency,15-30,30543,1.9394345857185882,1.939256897606977,-0.00017768811161111842,0.020022299431446337,0.020765744781301738,-0.0007434453498554004,0.0006891973651944241
replacement_beta1_partial_3fold,2025-10-16,recency,31-60,25602,1.9419550868836333,1.941895352946837,-5.9733936796257936e-05,-0.04253971604440391,-0.0400073724737008,-0.002532343570703109,0.00023199767669905466
replacement_beta1_partial_3fold,2025-10-16,recency,61-90,11654,1.8715131093409085,1.871327070098258,-0.000186039242650482,0.0006539557397187894,0.0022768531055611567,-0.0016228973658423673,0.0006963151523455189
replacement_beta1_partial_3fold,2025-10-16,recency,8-14,24534,1.8546232748674554,1.8544756830540532,-0.00014759181340218142,0.015026720510897013,0.014615040821689244,0.00041167968920776885,0.0005474326412871495
replacement_beta1_partial_3fold,2025-10-16,recency,>90,18101,1.717720441289359,1.7177406635040822,2.022221472319785e-05,-0.017222386226353158,-0.01679678841706414,-0.0004255978092890175,-6.947263213389464e-05
replacement_beta1_partial_3fold,2025-10-16,recency,never,20384,1.1814860244309586,1.181646130786273,0.0001601063553142712,-0.03182470570622965,-0.03318058473822253,0.001355879031992878,-0.00037835247649730373
replacement_beta1_partial_3fold,2025-10-16,exp037_prediction,high,65793,1.5760776092977753,1.5758810142640107,-0.00019659503376456833,0.014764002148896529,0.015157709560573602,-0.0003937074116770727,0.0006196594120248164
replacement_beta1_partial_3fold,2025-10-16,exp037_prediction,low,65793,1.6009882255436312,1.6009426073321138,-4.561821151738421e-05,-0.016778274986505783,-0.017786198983857745,0.0010079239973519623,0.0001460663579978897
replacement_beta1_partial_3fold,2025-10-16,exp037_prediction,medium,65793,2.0122050613003464,2.0120980700013487,-0.0001069912989977162,0.00201427283760949,0.0026284894232841277,-0.0006142165856746376,0.0004305654195782587
replacement_beta1_partial_3fold,2025-10-16,dist_count_abs_disagreement,high,65793,1.8397240385238756,1.8394517953017397,-0.0002722432221358151,-0.0030635990796318794,-0.0050207363553202685,0.001957137275688389,0.0010016306838049594
replacement_beta1_partial_3fold,2025-10-16,dist_count_abs_disagreement,low,65793,1.6502835382748124,1.6502754607164825,-8.077558329988577e-06,0.002318943032371932,0.003258447815789947,-0.0009395047834180152,2.6660457836330492e-05
replacement_beta1_partial_3fold,2025-10-16,dist_count_abs_disagreement,medium,65793,1.728621659866159,1.728573065540035,-4.859432612391856e-05,0.0007446560472601855,0.001762288539530302,-0.0010176324922701167,0.00016800004795967474
replacement_beta1_partial_3fold,2025-10-16,dist_count_signed_disagreement,count_gt_dist,100579,1.7359408402437901,1.7358517308632566,-8.910938053352524e-05,0.013482970557605426,-0.0007295000169335193,0.014212470574538946,0.00030936928535196025
replacement_beta1_partial_3fold,2025-10-16,dist_count_signed_disagreement,count_lt_dist,96800,1.7468073954685954,1.7466666621873714,-0.00014073328122399253,-0.014009335699518398,0.0007579791549912725,-0.01476731485450967,0.0004916480670041473
