scheme,model,cutoff,rmsle_cal,offset
ordinary,S1-DIST-MIX,2025-10-16,1.7431352014081916,-0.05550433755496031
ordinary,SEQ-01-MIX,2025-09-04,1.767492972891647,-0.0905134902045957
ordinary,SEQ-01-MIX,2025-09-18,1.7610285866435784,-0.060549351588238286
ordinary,SEQ-01-MIX,2025-10-02,1.7494623096940387,-0.022214405080474647
ordinary,SEQ-01-MIX,2025-10-16,1.742217797554085,-0.026822406601534173
ordinary,SEQ-MIX-ROUNDS-CONTROL,2025-09-04,1.7674620919796633,-0.08939266528082902
ordinary,SEQ-MIX-ROUNDS-CONTROL,2025-09-18,1.7610414698594123,-0.059780631207528315
ordinary,SEQ-MIX-ROUNDS-CONTROL,2025-10-02,1.7494373933295952,-0.022058314008679674
ordinary,SEQ-MIX-ROUNDS-CONTROL,2025-10-16,1.7422390459154218,-0.02678184698709578
primary_t05_clip4,S1-E10,2025-09-04,1.7745494379803446,-0.07833266346610783
primary_t05_clip4,S1-E10,2025-09-18,1.7798878596312127,-0.054975409726133496
primary_t05_clip4,S1-E10,2025-10-02,1.766750835040995,-0.03687769887315002
primary_t05_clip4,S1-E10,2025-10-16,1.7511923399181806,-0.040867949590695785
primary_t05_clip4,S1-E02,2025-09-04,1.7740100479682839,-0.1808445916085509
primary_t05_clip4,S1-E02,2025-09-18,1.7791386649162402,-0.12294817810959327
primary_t05_clip4,S1-E02,2025-10-02,1.7676083556498423,-0.04717034255415521
primary_t05_clip4,S1-E02,2025-10-16,1.7520482656792056,-0.07682299526641037
primary_t05_clip4,S1-E03a,2025-09-04,1.7790845160019433,-0.09783404819187884
primary_t05_clip4,S1-E03a,2025-09-18,1.786149425661045,-0.0728763682153715
primary_t05_clip4,S1-E03a,2025-10-02,1.7749072344685077,-0.08202806973427293
primary_t05_clip4,S1-E03a,2025-10-16,1.7611518366258254,-0.10487651033984477
primary_t05_clip4,S1-DIST,2025-09-04,1.7725551651301472,-0.0702141451432162
primary_t05_clip4,S1-DIST,2025-09-18,1.777809755955108,-0.0477409890055526
primary_t05_clip4,S1-DIST,2025-10-02,1.765600395226702,-0.03785410706533607
primary_t05_clip4,S1-DIST,2025-10-16,1.750539160034348,-0.04485254992405892
primary_t05_clip4,S1-ROUNDS,2025-09-04,1.7735127455613169,-0.07199202975946341
primary_t05_clip4,S1-ROUNDS,2025-09-18,1.779140379509043,-0.049267688117201905
primary_t05_clip4,S1-ROUNDS,2025-10-02,1.7660968424849515,-0.03508326865439387
primary_t05_clip4,S1-ROUNDS,2025-10-16,1.7505736536059782,-0.0410307368408403
primary_t05_clip4,S1-SEEDAVG3,2025-09-04,1.7727865383482821,-0.07279112601823517
primary_t05_clip4,S1-SEEDAVG3,2025-09-18,1.7781933209732717,-0.0495490221829379
primary_t05_clip4,S1-SEEDAVG3,2025-10-02,1.7654954527189082,-0.034841452037346725
primary_t05_clip4,S1-SEEDAVG3,2025-10-16,1.750155708492189,-0.04195475920745045
primary_t05_clip4,SEQ-01-S42,2025-09-04,1.7732708843401432,-0.04043005680822005
primary_t05_clip4,SEQ-01-S42,2025-09-18,1.7794971099709358,-0.04248276216028812
primary_t05_clip4,SEQ-01-S42,2025-10-02,1.766873379200382,0.017188719135955974
primary_t05_clip4,SEQ-01-S42,2025-10-16,1.7527596523690252,0.03316057838688145
